Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Fire,2006,12/29/2006,4:25 p.m.,12/31/2006,6:59 p.m.,Puerto Rico Electric Power Authority,North Part of the Island,PR,50,"18,386","wild fire, equipment failure, voltage reduction"
Severe Weather,2006,12/26/2006,12:01 a.m.,12/31/2006,9:13 a.m.,Pacific Gas and Electric Company,Northern California,WECC,420,"850,068",severe weather
Equipment Failure,2006,12/16/2006,7:30 p.m.,12/17/2006,1:00 a.m.,Portland General Electric,"Oregon Counties:  Washington, Yamhill",WECC,350,"84,500","wild fire, transmission interruption"
High Winds and Rain,2006,12/14/2006,7:00 p.m.,12/17/2006,8:00 p.m.,Portland General Electric,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",WECC,N/A,"249,500","severe weather, wind"
Storm,2006,12/14/2006,12:01 a.m.,12/15/2006,8:00 a.m.,Seattle City Light,"City of Seattle, Washington",WECC,750,"175,000","severe weather, wind"
High Winds and Rain,2006,12/14/2006,5:00 p.m.,12/16/2006,4:00 p.m.,Tacoma Power,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",WECC,280,"75,000","severe weather, wind"
Storm,2006,12/14/2006,9:44 a.m.,12/31/2006,2:34 p.m.,Bonneville Power Administration,"Oregon, Washington, Idaho, Montana",WECC,258,24,"severe weather, wind"
High Winds and Rain,2006,12/14/2006,12:07 p.m.,12/17/2006,12:00 p.m.,PacifiCorp,State of Oregon Coastal area,WECC,N/A,"111,000","severe weather, wind"
Storm,2006,12/14/2006,5:30 a.m.,12/20/2006,10:00 p.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,360,"172,060","severe weather, wind"
Storm,2006,12/13/2006,4:30 a.m.,12/28/2006,11:59 p.m.,Puget Sound Energy,Western Washington,WECC,N/A,"700,000","severe weather, wind"
Unit Tripped,2006,12/10/2006,7:35 p.m.,12/10/2006,10:14 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,220,N/A,generator trip
Storm,2006,12/1/2006,6:20 p.m.,12/2/2006,6:00 a.m.,American Electric Power,Ohio,RFC,N/A,"59,106","severe weather, wind"
Ice and Snow,2006,11/30/2006,9:00 p.m.,12/9/2006,6:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,N/A,"550,000","severe weather, winter storm"
Storm,2006,11/26/2006,1:00 p.m.,12/2/2006,6:00 p.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,180,"63,992","severe weather, winter storm"
High Winds and Rain,2006,11/15/2006,10:00 a.m.,11/15/2006,8:00 p.m.,CenterPoint Energy,System-wide greater Houston area,ERCOT,221,"83,000","severe weather, wind"
Severe Weather,2006,11/15/2006,3:00 p.m.,11/15/2006,5:00 p.m.,Southern Company,Georgia,SERC,363,"109,000",severe weather
High Winds and Rain,2006,11/15/2006,1:00 p.m.,11/19/2006,2:35 a.m.,Puget Sound Energy,"Whatcom and Skagit Counties, Washington",WECC,50,"50,000","severe weather, wind"
Ice and Snow,2006,10/26/2006,5:30 a.m.,10/27/2006,5:10 p.m.,Xcel Energy,"Metro Denver and Boulder, Colorado",MRO,N/A,"65,000","severe weather, winter storm"
High Winds and Rain,2006,10/20/2006,1:00 p.m.,10/22/2006,5:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N/A,"90,000","severe weather, wind"
Earthquake,2006,10/15/2006,7:09 a.m.,10/15/2006,4:12 p.m.,"Maui Electric Company, Ltd.",Island of Maui,HECO,110,"59,886",earthquake
Earthquake,2006,10/15/2006,7:09 a.m.,10/16/2006,2:55 p.m.,"Hawaiian Electric Company, Inc.",Island of Oahu,HECO,"1,170","291,000",earthquake
Ice and Snow,2006,10/12/2006,5:48 p.m.,10/23/2006,12:00 a.m.,Niagara Mohawk Power Corporation,Western New York State,NPCC,600,"250,000","severe weather, winter storm"
Ice and Snow,2006,10/12/2006,8:00 p.m.,10/21/2006,11:00 p.m.,New York State Electric and Gas,Western New York State,NPCC,353,"120,000","severe weather, winter storm"
Load Shed,2006,10/3/2006,5:28 p.m.,10/3/2006,9:59 p.m.,Electric Reliability Council of Texas,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",ERCOT,339,N/A,load shedding
Load Shed,2006,10/2/2006,3:05 p.m.,10/2/2006,8:39 p.m.,Southern California Edison Company,"Newhall, San Frenando, Saugus, and Santa Clarita, California",WECC,308,"130,000",load shedding
Storm,2006,10/2/2006,2:00 p.m.,10/3/2006,6:00 p.m.,Exelon Corporation/ComEd,"Chicago Metro, Northeast Illinois",RFC,N/A,"471,932","severe weather, thunderstorm"
Storm,2006,9/28/2006,8:08 p.m.,9/28/2006,10:10 p.m.,Dominion - Virginia Power/North Carolina Power,"North, Central and Eastern Virginia and Northern North Carolina",SERC,84,"56,500","severe weather, thunderstorm"
Load Shed,2006,9/14/2006,8:56 a.m.,9/14/2006,9:08 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,59,"34,716","load shedding, voltage reduction"
Storm,2006,9/1/2006,8:00 p.m.,9/4/2006,5:00 p.m.,Atlantic City Electric,Southern New Jersey Counties,RFC,400,"100,000","severe weather, hurricane/tropical storm"
Storm,2006,9/1/2006,6:41 a.m.,9/3/2006,3:25 p.m.,Dominion - Virginia Power/North Carolina Power,Virginia and North Carolina,SERC,500,"333,000","severe weather, hurricane/tropical storm"
Storm,2006,9/1/2006,10:00 a.m.,9/4/2006,2:00 p.m.,Delmarva Power,Southern Delmarva Peninsula,RFC,380,"105,000","severe weather, hurricane/tropical storm"
Storm,2006,9/1/2006,3:00 p.m.,9/4/2006,11:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N/A,"146,094","severe weather, hurricane/tropical storm"
Storm,2006,9/1/2006,5:30 a.m.,9/1/2006,10:00 a.m.,"Progress Energy Carolinas, Inc.",Eastern North Carolina,SERC,N/A,"61,000","severe weather, hurricane/tropical storm"
Load Shed,2006,8/24/2006,9:58 p.m.,8/24/2006,11:25 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,180,"106,000","load shedding, voltage reduction"
Storm,2006,8/10/2006,8:00 p.m.,8/12/2006,12:00 p.m.,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,100,"65,000","severe weather, thunderstorm"
Public Appeal,2006,8/7/2006,1:00 p.m.,8/7/2006,6:00 p.m.,American Electric Power,"Tulsa, Oklahoma",RFC,75,"23,000",public appeal
Load Shed,2006,8/3/2006,2:16 p.m.,8/3/2006,2:46 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,369,"227,480",load shedding
Declared Energy Emergency,2006,8/2/2006,12:00 p.m.,8/2/2006,4:45 p.m.,Midwest ISO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",MRO,N/A,N/A,"severe weather, heat"
Voltage Reduction,2006,8/2/2006,1:00 p.m.,8/2/2006,4:35 p.m.,ISO England,New England,NPCC,N/A,N/A,voltage reduction
Storm,2006,8/2/2006,7:00 p.m.,8/3/2006,1:00 a.m.,National Grid,New England,NPCC,140,"77,000","severe weather, thunderstorm"
Public Appeal,2006,8/1/2006,1:00 p.m.,8/1/2006,8:30 p.m.,Duke Energy Midwest,"Ohio, Indiana, Kentucky",RFC,90,N/A,public appeal
CAISO,2006,8/1/2006,12:00 p.m.,8/1/2006,7:00 p.m.,First Energy Corporation,Northern Ohio,RFC,N/A,N/A,"severe weather, heat, public appeal"
Storm,2006,7/27/2006,6:38 p.m.,7/29/2006,9:36 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N/A,"167,564","severe weather, thunderstorm"
CAISO,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,California ISO,California,WECC,695,N/A,"severe weather, heat"
CAISO,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,Southern California Edison Company,California,WECC,414,"611,121","severe weather, heat"
CAISO,2006,7/22/2006,1:09 p.m.,7/27/2006,4:00 p.m.,Pacific Gas and Electric Company,California,WECC,200,"1,271,893","severe weather, heat, public appeal"
Storm,2006,7/19/2006,6:00 p.m.,7/31/2006,8:00 a.m.,Ameren Corporation,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,"1,500","2,500,000","severe weather, storm"
Load Shed,2006,7/19/2006,11:00 a.m.,7/19/2006,5:54 p.m.,Entergy Services Inc.,"Greater Little Rock, Arkansas",SERC,40,"8,000","load shedding, public appeal"
Storm,2006,7/18/2006,6:36 p.m.,7/23/2006,11:59 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N/A,"492,955","severe weather, thunderstorm"
Storm,2006,7/18/2006,8:07 p.m.,7/18/2006,10:32 p.m.,ISO New England,"Norwalk, Stamford, Connecticut",NPCC,0,0,"severe weather, thunderstorm"
Storm,2006,7/17/2006,9:00 p.m.,7/18/2006,9:00 a.m.,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,N/A,"170,519","severe weather, thunderstorm"
Voltage Reduction,2006,7/17/2006,6:50 p.m.,7/25/2006,3:06 a.m.,Consolidated Edison Company of NY,"Northwest Queens, New York City",NPCC,N/A,"25,000","severe weather, public appeal, voltage reduction"
Storm,2006,7/16/2006,2:00 p.m.,7/21/2006,12:00 a.m.,Consumers Energy,Middle 1/3 of Michigan Lower Peninsula,RFC,150,"315,000","severe weather, thunderstorm"
Storm,2006,7/4/2006,5:30 p.m.,7/4/2006,8:18 p.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,335,"67,000","severe weather, thunderstorm"
Storm,2006,7/2/2006,6:39 p.m.,7/3/2006,12:31 a.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,300,"75,000","severe weather, thunderstorm"
Storm,2006,6/22/2006,2:00 p.m.,6/27/2006,11:00 p.m.,American Electric Power,Ohio and Indiana,RFC,750,"195,000","severe weather, thunderstorm"
Storm,2006,6/11/2006,6:00 p.m.,6/11/2006,9:00 p.m.,Duke Energy Carolinas,"Charlotte, North Carolina Metropolitan area",SERC,70,"72,000","severe weather, thunderstorm"
Severe Weather,2006,6/1/2006,6:00 p.m.,6/3/2006,9:00 a.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N/A,"111,555",severe weather
Load Shed,2006,6/1/2006,2:12 p.m.,6/1/2006,6:09 p.m.,Hawaiian Electric Company Inc.,Island of Oahu,HECO,120,"29,300",load shedding
Storm,2006,6/1/2006,6:30 p.m.,6/3/2006,2:00 p.m.,Baltimore Gas and Electric,Central Maryland,RFC,335,"70,000","severe weather, thunderstorm"
Severe Weather,2006,5/25/2006,7:50 p.m.,5/27/2006,9:00 a.m.,"Duke Energy - Ohio, Kentucky, Indiana","Southwest Ohio, Northern Kentucky, Central Indiana",RFC,800,"210,000",severe weather
Lightning,2006,5/19/2006,3:13 p.m.,5/19/2006,10:30 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,133,-,"severe weather, thunderstorm"
Load Shed,2006,5/4/2006,2:12 p.m.,5/4/2006,2:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,"94,639",load shedding
Equipment Failure,2006,5/3/2006,3:30 p.m.,5/3/2006,9:35 p.m.,Pacific Gas and Electric Company,City of Bakersfield area,WECC,300,"55,655","equipment failure, wild fire"
Storm,2006,4/29/2006,2:55 p.m.,4/29/2006,3:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,237,"164,105","severe weather, thunderstorm"
Severe Weather,2006,4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,CenterPoint Energy,System-wide greater Houston metro area,ERCOT,219,"82,000",severe weather
Load Shed,2006,4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,"1,000","200,000",load shedding
Load Shed,2006,4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,TXU Electric Delivery Company,North and East Texas,ERCOT,380,"489,478",load shedding
Load Shed,2006,4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,40,"10,000","load shedding, public appeal"
Load Shed,2006,4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,"68,000","load shedding, public appeal"
Load Shed,2006,4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,American Electric Power,AEP Texas Central/Texas North,ERCOT,108,"51,404",load shedding
Severe Weather,2006,4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,300,"115,589","severe weather, tornado"
Voltage Reduction,2006,4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,116,"54,700","voltage reduction, load shedding"
Storm,2006,4/2/2006,9:00 p.m.,4/5/2006,4:25 a.m.,Cinergy PSI,Southern half of Indiana,RFC,"1,000","186,000","severe weather, tornado, storm"
Severe Weather,2006,3/12/2006,8:30 p.m.,3/14/2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,"65,400",severe weather
Severe Weather,2006,3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,N/A,"73,000",severe weather
Ice and Snow,2006,2/27/2006,6:25 p.m.,3/1/2006,2:30 p.m.,Pacific Gas and Electric Company,Northern and Central California,WECC,-,"160,000","severe weather, winter storm"
Load Shed,2006,2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Public Service Company of Colorado,Colorado,WECC,428,-,load shedding
Severe Weather,2006,2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,National Grid - NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,250,"200,000",severe weather
Fuel Supply Emergency,2006,2/16/2006,Ongoing,Ongoing,Ongoing,Missouri Basin Power District,North Dakota,MRO,"1,650",0,"fuel supply emergency, coal"
Ice and Snow,2006,2/16/2006,12:00 p.m.,2/20/2006,11:00 p.m.,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,"252,089","severe weather, winter storm"
Storm,2006,2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Delmarva Power,Entire Delmarva Power service territory,RFC,50,"58,000","severe weather, winter storm"
Storm,2006,2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,300,"60,000","severe weather, winter storm"
Storm,2006,2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,80,"130,000","severe weather, winter storm"
Ice and Snow,2006,2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Dominion - Virginia Power,Northern and Northwestern Virginia,RFC,250,"126,000","severe weather, winter storm"
Ice and Snow,2006,2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,"180,000","severe weather, winter storm"
Storm,2006,2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Puget Sound Energy,Western Washington,WECC,-,"140,000","severe weather, wind"
High Winds and Rain,2006,2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,150,"123,827","severe weather, wind"
Storm,2006,1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Central Maine Power Company,Southern and Central Maine,NPCC,75,"63,000","severe weather, storm"
High Winds and Rain,2006,1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,-,"142,315","severe weather, wind"
Storm,2005,12/31/2005,6:00 a.m.,1/5/2006,9:00 a.m.,Pacific Gas and Electric,Northern and Central California,WECC,800,"1,667,316","severe weather, storm"
Ice and Snow,2005,12/15/2005,4:00 a.m.,12/21/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North Carolina and South Carolina,SERC,"3,500","683,000","severe weather, winter storm"
Ice and Snow,2005,12/15/2005,5:05 a.m.,12/16/2005,12:10  p.m.,Southern Company,Northeast Georgia,SERC,75,"52,659","severe weather, winter storm"
Storm,2005,11/12/2005,4:00 p.m.,11/14/2005,6:00 p.m.,We Energies,Southeast Wisconsin,MAIN,10,"48,000","severe weather, thunderstorm"
Storm,2005,11/12/2005,11:00 p.m.,11/14/2005,11:59 p.m.,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,"272,355","severe weather, thunderstorm"
Storm,2005,11/6/2005,7:30 a.m.,11/11/2005,11:30  p.m.,DTE Energy,Southeast Michigan,ECAR,212,"118,000","severe weather, thunderstorm"
Equipment Failure,2005,11/3/2005,6:47 p.m.,11/3/2005,7:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,136,-,equipment failure
Hurricane,2005,10/24/2005,8:00 p.m.,11/2/2005,4:30 p.m.,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,"303,795","severe weather, hurricane/tropical storm"
Hurricane,2005,10/24/2005,4:00 a.m.,10/24/2005,4:00 p.m.,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,280,"105,000","severe weather, hurricane/tropical storm"
Hurricane,2005,10/24/2005,7:00 a.m.,11/10/2005,12:00 a.m.,Florida Municipal Power Agency,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,148,"84,900","severe weather, hurricane/tropical storm"
Hurricane,2005,10/23/2005,8:00 p.m..,10/24/2005,2:00 p.m.,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,"10,000","3,241,437","severe weather, hurricane/tropical storm"
Voltage Reduction,2005,10/22/2005,9:44 a.m.,10/22/2005,11:40 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,360,"85,682","voltage reduction, load shedding"
Voltage Reduction,2005,10/18/2005,3:19 p.m.,10/18/2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,"142,591","voltage reduction, load shedding"
Voltage Reduction,2005,10/2/2005,5:40 p.m.,10/2/2005,5:54 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,"71,240","voltage reduction, load shedding"
Hurricane,2005,9/24/2005,10:00 a.m.,9/28/2005,6:00 p.m.,American Electric Power - CSWS,"Shreveport, Louisiana",ECAR,700,"190,000","severe weather, hurricane/tropical storm"
Hurricane,2005,9/24/2005,6:00 a.m.,10/2/2005,5:00 p.m.,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,260,"200,000","severe weather, hurricane/tropical storm"
Hurricane,2005,9/23/2005,5:00 p.m.,9/24/2005,8:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,"1,950","715,000","severe weather, hurricane/tropical storm"
Hurricane,2005,9/23/2005,9:00 p.m.,9/25/2005,7:30 a.m.,Entergy Corporation,"Texas, Louisiana, Arkansas, and Mississippi",SPP,N/A,"766,000","severe weather, hurricane/tropical storm"
Hurricane,2005,9/23/2005,1:06 p.m.,10/6/2005,2:30 p.m.,Louisiana Generating,West and Southwest Louisiana,SPP,350,"125,000","severe weather, hurricane/tropical storm"
Hurricane,2005,9/23/2005,7:00 a.m.,9/28/2005,11:29 a.m.,City of Lakeland,"Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Fuel Supply Emergency,2005,9/22/2005,12:00 p.m.,9/29/2005,12:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Storm,2005,9/22/2005,11:00 a.m.,9/26/2005,11:30 p.m.,DTE Energy,Southeast Michigan,ECAR,366,"53,000","severe weather, thunderstorm"
High Winds and Rain,2005,9/21/2005,7:00 p.m.,9/27/2005,11:00 p.m.,Xcel Energy - Northern States  Power,Minnesota,MRO,N/A,"200,000","severe weather, tornado"
Hurricane,2005,9/14/2005,3:00 p.m.,9/15/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern North Carolina,SERC,215,"60,000","severe weather, hurricane/tropical storm"
Storm,2005,9/13/2005,6:30 p.m.,9/16/2005,8:00 p.m.,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,"110,000","severe weather, storm"
Voltage Reduction,2005,9/13/2005,2:14 p.m.,9/13/2005,2:29 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,"66,480","voltage reduction, load shedding"
Equipment Failure,2005,9/12/2005,12:32 p.m.,9/12/2005,1:56 p.m.,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,"2,578","900,000",equipment failure
Hurricane,2005,8/31/2005,4:00 p.m.,9/12/2005,8:00 a.m.,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane,2005,8/29/2005,6:00 a.m.,8/30/2005,6:00 a.m.,Entergy Corporation,"Buras, Louisiana",SPP,N/A,"110,000","severe weather, hurricane/tropical storm"
Fuel Supply Emergency,2005,8/29/2005,7:10 a.m.,9/7/2005,3:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency"
Hurricane,2005,8/29/2005,1:10 a.m.,8/29/2005,12:42 p.m.,Louisiana Generating,East and Southeast Louisiana,SPP,300,"143,000","severe weather, hurricane/tropical storm"
Hurricane,2005,8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane,2005,8/29/2005,3:50 p.m.,9/10/2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118,"323,529","severe weather, hurricane/tropical storm"
Hurricane,2005,8/29/2005,7:10 a.m.,8/29/2005,10:00 p.m.,Southern Company,"Alabama, Florida, Mississippi",SERC,"5,120","512,049","severe weather, hurricane/tropical storm"
CAISO,2005,8/25/2005,3:51 p.m.,8/25/2005,8:00 p.m.,Southern California Edison Company,Southern California,WECC,864,"409,000","load shedding, transmission interruption"
CAISO,2005,8/25/2005,3:50 p.m.,8/25/2005,8:00 p.m.,California ISO,Southern California,WECC,-,-,"load shedding, public appeal"
Storm,2005,8/20/2005,2:15 p.m.,8/20/2005,4:21 p.m.,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,"50,797","severe weather, thunderstorm"
Voltage Reduction,2005,8/19/2005,7:37 p.m.,8/19/2005,8:15 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,"71,864","voltage reduction, load shedding"
Equipment Failure,2005,8/8/2005,12:38 p.m.,8/8/2005,4:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,"53,732",equipment failure
Voltage Reduction,2005,8/1/2005,10:28 a.m.,8/1/2005,10:47 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,"47,116","voltage reduction, load shedding"
Storm,2005,7/28/2005,8:30 p.m.,8/1/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,"52,200","severe weather, thunderstorm"
Storm,2005,7/27/2005,4:50 p.m,7/28/2005,9:24 p.m.,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,N/A,"93,837","severe weather, thunderstorm"
Storm,2005,7/27/2005,5:50 p.m.,7/30/2005,9:07 p.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N/A,"64,943","severe weather, thunderstorm"
Storm,2005,7/27/2005,6:00 p.m.,7/29/2005,4:00 p.m.,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,N/A,"87,600","severe weather, thunderstorm"
Storm,2005,7/23/2005,1:02 a.m.,7/26/2005,10:50 a.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N/A,"55,118","severe weather, thunderstorm"
CAISO,2005,7/22/2005,1:55 p.m.,7/22/2005,6:00 p.m.,Southern California Edison Company,Southern California,WECC,206,"133,900",load shedding
CAISO,2005,7/21/2005,2:39 p.m.,7/21/2005,5:30 p.m.,Southern California Edison Company,Southern California,WECC,197,"128,050",load shedding
Hurricane,2005,7/10/2005,8:00 a.m.,7/12/2005,8:00 a.m.,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,"228,102","severe weather, hurricane/tropical storm"
Hurricane,2005,7/10/2005,12:53 p.m.,7/11/2005,5:33 PM,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,"50,000","severe weather, hurricane/tropical storm"
Storm,2005,7/5/2005,9:00 p.m.,7/6/2005,9:00 a.m.,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,N/A,"287,000","severe weather, hurricane/tropical storm"
Load Shed,2005,7/2/2005,1:27 a.m.,7/2/2005,1:46 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,226,"132,290",load shedding
Fuel Supply Emergency,2005,7/1/2005,N/A,Ongoing,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,0,0,"fuel supply emergency, coal"
Storm,2005,6/29/2005,4:30 p.m.,7/4/2005,11:30 p.m.,DTE Energy,Southeast  Michigan,ECAR,"1,000","114,711","severe weather, thunderstorm"
Fuel Supply Emergency,2005,6/28/2005,11:30 a.m.,Ongoing,Ongoing,Public Service Company of Colorado,Denver Metropolitan area of Colorado,WECC,0,0,"fuel supply emergency, coal"
Equipment Failure,2005,6/24/2005,8:37 p.m.,6/24/2005,11:06 p.m.,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,"51,500","equipment failure, transmission interruption"
Voltage Reduction,2005,6/20/2005,11:16 a.m.,6/20/2005,5:15 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,35,"600,000",voltage reduction
Storm,2005,6/8/2005,4:00 a.m.,6/10/2005,10:00 p.m.,Xcel Energy - Northern States Power,Minnesota,MRO,100,"300,000","severe weather, thunderstorm"
Storm,2005,6/6/2005,12:00 p.m.,6/8/2005,6:00 p.m.,New York  State Electric and Gas,Central/Eastern New York state,NPCC,N/A,"65,000","severe weather, thunderstorm"
