日期,辐照度均值,风速均值
1158,134.125,1.5875
1159,124.375,7.9
1160,147.625,9.9
1161,156.625,10.0125
1162,155.625,5.65
1163,155.75,7.1000000000000005
1164,153.5,1.475
1165,144.0,2.8
1166,127.125,3.225
1167,144.5,6.225
1168,146.625,1.8374999999999997
1169,146.875,4.95
1170,140.375,4.0125
1171,143.875,5.3125
1172,138.75,1.8249999999999997
1173,141.5,1.3125
1174,136.375,2.875
1175,111.0,3.6624999999999996
1176,133.375,6.362500000000001
1177,139.875,7.6
1178,138.75,2.5625
1179,137.625,1.1625
1180,137.125,2.5374999999999996
1181,132.75,3.4125000000000005
1182,137.25,2.7375
1183,135.5,2.2625
1184,134.875,2.6125
1185,134.875,1.2874999999999999
1186,135.125,8.4625
1187,139.375,9.3375
1188,138.5,2.3125
1189,137.0,1.1375
1190,94.5,4.137499999999999
1191,137.5,11.725000000000001
1192,139.0,2.575
1193,139.0,7.1
1194,139.5,3.2
1195,139.625,1.1875
1196,122.125,4.3
1197,76.5,7.6125
1198,143.25,4.1499999999999995
1199,140.25,1.5375000000000003
1200,140.75,1.7375
1201,87.875,2.8625
1202,111.375,2.3875
1203,143.25,1.175
1204,135.5,1.6375000000000002
1205,137.0,3.075
1206,132.375,6.737500000000001
1207,147.875,6.8125
1208,146.875,10.100000000000001
1209,147.625,6.862500000000001
1210,149.0,4.9875
1211,131.5,2.0
1212,148.125,3.425
1213,149.75,1.4125
1214,98.75,4.4750000000000005
1215,153.25,4.1499999999999995
1216,143.375,5.1625000000000005
1217,146.25,2.1875
1218,156.0,4.362500000000001
1219,155.75,4.1
1220,160.125,8.637500000000001
1221,163.625,7.0625
1222,164.5,3.1125
1223,151.0,3.0125
1224,163.625,1.4999999999999998
1225,138.625,1.8
1226,164.625,2.8750000000000004
1227,162.375,2.1875
1228,165.25,3.35
1229,151.25,6.5125
1230,160.25,3.900000000000001
1231,173.0,3.6375
1232,176.75,2.1375
1233,181.75,1.9
1234,183.25,1.8874999999999997
1235,185.5,1.675
1236,177.875,3.7
1237,164.75,2.05
1238,171.125,6.05
1239,191.625,9.9
1240,196.875,12.637500000000001
1241,201.25,9.749999999999998
1242,201.25,3.0999999999999996
1243,169.75,1.9875
1244,188.75,4.6125
1245,195.125,7.1000000000000005
1246,199.75,1.9625
1247,165.625,4.4875
1248,98.625,3.4874999999999994
1249,212.75,2.8625
1250,176.0,8.0875
1251,203.875,8.875
1252,222.75,4.499999999999999
1253,176.25,6.674999999999999
1254,215.125,5.612500000000001
1255,223.875,1.5124999999999997
1256,162.0,2.75
1257,216.375,8.4125
1258,176.125,3.5375000000000005
1259,215.25,8.1625
1260,227.375,2.5124999999999997
1261,205.75,3.0375
1262,225.5,3.1125000000000003
1263,128.75,1.4375
1264,126.625,2.0875000000000004
1265,143.875,3.0625
1266,144.25,2.975
1267,136.25,1.9124999999999996
1268,145.5,2.4124999999999996
1269,144.625,3.2625
1270,135.375,2.8249999999999997
1271,128.125,1.675
1272,150.0,1.9749999999999999
1273,152.625,1.4125
1274,153.5,1.7625
1275,133.25,2.2875
1276,156.25,4.225
1277,157.25,2.9625
1278,151.625,2.8125
1279,160.625,2.975
1280,157.125,2.2125
1281,114.75,2.5625
1282,163.625,4.0874999999999995
1283,165.5,1.9625000000000001
1284,112.125,1.5750000000000002
1285,167.75,2.2750000000000004
1286,160.125,3.4375000000000004
1287,167.625,3.675
1288,169.875,3.975
1289,104.75,2.3875
1290,158.375,2.475
1291,162.625,3.6
1292,179.375,2.6875
1293,169.0,2.35
1294,177.875,2.4999999999999996
1295,162.125,4.7124999999999995
1296,174.75,2.9875000000000003
1297,186.5,2.3625000000000003
1298,182.5,4.437500000000001
1299,110.5,2.025
1300,177.0,3.025
1301,175.25,2.0875
1302,111.125,1.6250000000000002
1303,195.625,1.95
1304,202.625,1.7874999999999999
1305,202.875,2.3
1306,195.625,3.3125000000000004
1307,191.125,3.6250000000000004
1308,182.0,3.8625
1309,205.375,3.4125
1310,213.5,2.675
1311,179.5,2.1999999999999997
1312,149.625,2.7375000000000003
1313,147.375,1.9749999999999999
1314,153.625,2.3375
1315,170.625,2.0625
1316,209.25,2.6624999999999996
1317,223.125,4.0625
1318,235.875,1.925
1319,194.625,2.7125000000000004
1320,187.875,4.937500000000001
1321,239.0,1.2875
1322,231.375,2.8499999999999996
1323,191.375,1.7375
1324,207.625,3.0000000000000004
1325,182.0,2.5749999999999997
1326,218.75,2.9749999999999996
1327,236.5,3.4250000000000003
1328,242.625,1.8375
1329,242.75,2.0375
1330,186.625,1.9875
1331,198.875,3.2875000000000005
1332,183.0,6.137499999999999
1333,196.625,3.0875
1334,220.875,2.5375
1335,217.5,4.075
1336,261.625,3.1375
1337,266.625,2.2125
1338,227.375,5.7125
1339,245.75,3.6999999999999997
1340,205.0,3.3375000000000004
1341,228.0,3.75
1342,224.875,4.6625000000000005
1343,278.375,8.0875
1344,272.25,3.7625
1345,293.75,3.2
1346,289.5,2.6625
1347,282.875,2.875
1348,281.0,2.325
1349,186.25,4.375
1350,296.25,3.0500000000000003
1351,299.625,2.2249999999999996
1352,295.625,2.1875
1353,169.25,2.8374999999999995
1354,267.75,2.7250000000000005
1355,261.5,2.7249999999999996
1356,295.0,2.4875
1357,280.625,2.9125
1358,274.375,4.7625
1359,251.5,3.125
1360,245.625,4.2375
1361,256.25,4.2749999999999995
1362,282.5,4.625
1363,270.875,5.65
1364,277.875,5.2625
1365,248.375,5.1375
1366,290.125,4.999999999999999
1367,325.0,4.5125
1368,314.5,3.4124999999999996
1369,298.625,5.05
1370,289.375,9.6625
1371,299.625,3.6749999999999994
1372,310.25,5.0375000000000005
1373,324.25,5.05
1374,321.5,2.875
1375,256.25,4.8
1376,243.5,3.4499999999999997
1377,210.25,3.075
1378,318.375,2.95
1379,318.25,3.125
1380,307.5,4.0125
1381,332.0,4.500000000000001
1382,277.875,4.699999999999999
1383,258.0,5.862500000000001
1384,343.875,7.362499999999999
1385,351.25,5.4625
1386,314.5,4.475
1387,251.75,3.5249999999999995
1388,327.625,3.9250000000000003
1389,280.875,3.2375
1390,302.125,3.275
1391,285.0,3.0625
1392,332.75,2.6999999999999997
1393,347.875,2.625
1394,280.25,7.775
1395,320.125,4.6875
1396,314.25,3.9749999999999996
1397,330.625,4.5625
1398,327.625,4.9875
1399,357.125,2.225
1400,328.0,5.1000000000000005
1401,314.5,5.612500000000001
1402,198.5,3.1624999999999996
1403,360.375,2.65
1404,301.5,4.75
1405,285.0,5.1125
1406,338.125,3.4875
1407,362.75,2.4624999999999995
1408,324.375,5.3375
1409,231.5,5.1375
1410,301.5,2.55
1411,281.25,3.8625
1412,201.625,3.5874999999999995
1413,218.625,6.475
1414,99.125,4.0125
1415,154.875,2.1999999999999997
1416,241.375,2.175
1417,289.5,2.5375
1418,329.75,2.2625
1419,341.375,2.0500000000000003
1420,222.875,3.5
1421,330.0,1.8125
1422,329.875,2.075
1423,366.125,4.075
1424,296.375,4.925
1425,135.875,3.0
1426,278.0,1.6875
1427,334.25,2.5375
1428,323.0,3.5125
1429,216.0,4.6
1430,306.125,3.2875000000000005
1431,277.5,1.825
1432,281.75,2.5125
1433,355.5,2.9375
1434,347.25,3.8625000000000003
1435,320.125,3.1125000000000007
1436,144.25,4.000000000000001
1437,324.5,2.525
1438,349.25,3.3499999999999996
1439,335.875,3.8375000000000004
1440,350.625,4.15
1441,350.0,2.8499999999999996
1442,331.125,4.775
1443,243.0,6.3375
1444,240.625,2.825
1445,348.25,1.4875
1446,179.5,3.8875
1447,287.75,1.5875
1448,340.125,2.4000000000000004
1449,250.375,6.525
1450,250.375,3.5125
1451,333.375,2.15
1452,314.5,2.3125
1453,340.125,3.4
1454,361.375,6.6625
1455,300.5,5.899999999999999
1456,310.75,4.9
1457,302.0,5.9125000000000005
1458,316.75,4.324999999999999
1459,324.375,5.262499999999999
1460,333.875,5.15
1461,329.5,4.562499999999999
1462,323.125,5.200000000000001
1463,302.75,4.7625
1464,289.25,3.4749999999999996
1465,271.625,4.449999999999999
1466,264.875,2.6750000000000003
1467,197.625,2.65
1468,91.125,2.3375
1469,234.75,2.075
1470,285.625,2.325
1471,291.375,2.05
1472,304.0,2.5250000000000004
1473,86.75,3.0125
1474,258.875,2.8625
1475,321.625,2.0500000000000003
1476,311.25,1.8375000000000001
1477,328.25,2.9375
1478,296.0,2.575
1479,118.875,2.4125
1480,274.875,2.35
1481,318.875,5.225
1482,322.5,2.7375000000000003
1483,238.625,3.1000000000000005
1484,257.375,3.4125000000000005
1485,307.875,2.675
1486,288.625,4.925000000000001
1487,287.125,4.175
1488,299.75,4.4875
1489,189.875,4.9375
1490,200.25,3.1125
1491,219.0,2.9125
1492,144.25,2.5125
1493,190.25,2.0124999999999997
1494,79.0,1.8625
1495,225.25,2.125
1496,253.25,1.8625
1497,106.375,1.7374999999999998
1498,213.5,4.525
1499,77.125,2.125
1500,50.5,1.9624999999999997
