DATA_DATE_E,PRO_M,ERR_TIME_R,ERR_DEV,ERR_TYPE,RES_TYPE
2014/5/11 7:54,重合不成,2014/5/11 9:25,电缆附件,设备本体,设备质量问题
2014/5/11 9:55,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/11 12:23,重合成功,,,原因不明,
2014/5/11 16:06,重合成功,,,原因不明,
2014/5/11 16:09,接地,2014/5/11 16:51,令克,设备本体,设备老化
2014/5/11 16:26,重合不成,2014/5/11 20:40,电缆,用户原因,用户运行和维护管理不到位
2014/5/11 18:50,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/12 11:18,重合不成,2014/5/12 12:10,电缆,用户原因,用户运行和维护管理不到位
2014/5/12 11:39,接地,2014/5/12 14:35,电缆附件,设备本体,设备老化
2014/5/12 14:35,重合成功,,架空导线,外力因素,建设施工
2014/5/12 15:55,重合不成,2014/5/12 17:20,架空导线,设计安装不当,安装工艺不当
2014/5/12 16:34,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/13 2:18,接地,2014/5/13 3:21,电缆附件,设备本体,设备老化
2014/5/13 6:39,重合不成,2014/5/13 11:12,架空导线,外力因素,建设施工
2014/5/13 7:23,重合不成,2014/5/13 9:18,架空导线,雨雪大风,大雨、强风
2014/5/13 9:17,重合成功,,,原因不明,
2014/5/13 10:15,重合不成,2014/5/13 11:11,架空导线,外力因素,建设施工
2014/5/13 10:38,重合成功,,,原因不明,
2014/5/13 13:48,重合成功,,,原因不明,
2014/5/13 14:00,重合不成,2014/5/13 14:28,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/13 14:25,重合不成,2014/5/13 15:00,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/13 14:51,重合成功,,,原因不明,
2014/5/13 14:56,重合不成,2014/5/13 17:45,架空导线,雨雪大风,大雨、强风
2014/5/13 17:04,重合成功,,架空导线,外力因素,建设施工
2014/5/13 17:52,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/14 7:53,接地,2014/5/14 11:48,,原因不明,
2014/5/14 10:08,重合成功,,,原因不明,
2014/5/14 10:17,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/14 17:50,重合成功,,,原因不明,
2014/5/15 5:05,重合成功,,,原因不明,
2014/5/15 6:10,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/15 9:39,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/15 10:21,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/15 15:48,重合成功,,,原因不明,
2014/5/16 9:07,无重合闸,2014/5/16 9:50,其它,其他原因,35kV及以上输变电设施影响
2014/5/16 9:49,无重合闸,2014/5/16 10:24,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/16 9:51,接地,2014/5/16 10:50,架空导线,用户原因,外力破坏
2014/5/16 11:12,接地,2014/5/16 12:02,架空导线,用户原因,外力破坏
2014/5/16 11:37,重合不成,2014/5/16 15:45,杆塔,外力因素,车辆
2014/5/16 14:09,重合不成,2014/5/16 15:09,架空导线,设计安装不当,未按设计规程施工
2014/5/16 15:52,重合成功,,拉线,外力因素,车辆
2014/5/16 20:58,接地,2014/5/17 0:25,架空导线,其他原因,低压影响
2014/5/17 14:04,重合不成,2014/5/17 15:06,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/17 15:01,无重合闸,2014/5/17 16:24,其它,其他原因,35kV及以上输变电设施影响
2014/5/18 7:37,重合成功,,柱开,设计安装不当,安装工艺不当
2014/5/18 9:23,重合不成,2014/5/18 10:09,架空导线,用户原因,设备老旧
2014/5/18 12:43,重合不成,2014/5/18 14:20,拉线,外力因素,车辆
2014/5/19 6:55,重合不成,2014/5/19 8:12,架空导线,设计安装不当,未按设计规程施工
2014/5/19 9:16,重合成功,,,原因不明,
2014/5/19 10:21,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/19 10:44,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/19 11:42,重合成功,,金具,设备本体,设备老化
2014/5/19 11:53,重合成功,,,原因不明,
2014/5/19 14:00,重合成功,,架空导线,外力因素,鸟害等小动物
2014/5/19 17:12,重合不成,2014/5/19 19:43,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/19 17:43,无重合闸,2014/5/19 19:31,电缆,设备本体,设备质量问题
2014/5/20 10:25,重合不成,2014/5/20 11:09,架空导线,外力因素,建设施工
2014/5/20 12:54,重合不成,2014/5/20 13:35,杆塔,外力因素,车辆
2014/5/20 14:21,重合成功,,柱开,设计安装不当,安装工艺不当
2014/5/20 15:03,接地,2014/5/20 16:40,架空导线,外力因素,车辆
2014/5/20 19:25,无重合闸,2014/5/20 21:34,令克,用户原因,用户运行和维护管理不到位
2014/5/21 13:11,重合成功,,,原因不明,
2014/5/21 19:28,接地,2014/5/21 21:23,配电变压器,用户原因,设备老旧
2014/5/21 21:32,重合成功,,架空导线,其他原因,低压影响
2014/5/21 21:32,重合不成,2014/5/22 1:08,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/22 21:59,重合成功,,架空导线,外力因素,建设施工
2014/5/22 0:23,重合不成,2014/5/22 2:20,电缆,外力因素,建设施工
2014/5/22 0:39,重合成功,,,原因不明,
2014/5/22 1:32,无重合闸,2014/5/22 3:05,电缆附件,设备本体,设备质量问题
2014/5/22 13:11,重合不成,2014/5/22 14:04,架空导线,外力因素,建设施工
2014/5/22 13:24,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/22 13:28,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/22 13:33,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/22 14:06,重合成功,,架空导线,运行维护不当,树线矛盾
2014/5/22 14:13,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/22 14:25,重合不成,2014/5/22 14:57,电缆,用户原因,用户运行和维护管理不到位
2014/5/22 14:30,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/22 14:44,重合成功,,,原因不明,
2014/5/22 15:00,无重合闸,2014/5/22 15:55,电缆附件,设备本体,设备质量问题
2014/5/22 16:10,重合成功,,架空导线,外力因素,外部火灾
2014/5/23 4:42,重合不成,2014/5/23 5:33,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/23 5:19,重合成功,,,原因不明,
2014/5/23 7:53,重合不成,2014/5/23 8:58,配电变压器,用户原因,设备老旧
2014/5/23 9:17,重合不成,2014/5/23 10:10,架空导线,外力因素,建设施工
2014/5/23 9:53,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/23 9:56,接地,2014/5/23 10:28,金具,设备本体,设备老化
2014/5/23 10:04,重合成功,,,原因不明,
2014/5/23 10:15,重合成功,,,原因不明,
2014/5/23 10:24,重合不成,2014/5/23 11:04,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/23 10:33,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/23 11:55,重合不成,2014/5/23 14:16,配电变压器,用户原因,设备老旧
2014/5/23 11:55,重合不成,2014/5/23 12:50,架空导线,雨雪大风,大雨、强风
2014/5/23 13:57,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/23 13:59,重合不成,2014/5/23 15:03,架空导线,雨雪大风,大雨、强风
2014/5/23 14:03,重合成功,,柱开,设备本体,设备老化
2014/5/23 14:22,重合成功,,令克,雨雪大风,大雨、强风
2014/5/23 15:26,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/23 15:29,重合成功,,,原因不明,
2014/5/23 16:12,重合不成,2014/5/23 16:52,配电变压器,用户原因,设备老旧
2014/5/23 17:00,重合成功,,,原因不明,
2014/5/23 17:10,重合不成,2014/5/23 18:30,绝缘子,设备本体,设备老化
2014/5/23 17:47,重合成功,,,原因不明,
2014/5/24 7:01,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/24 7:51,重合成功,,,原因不明,
2014/5/24 8:01,重合成功,,,原因不明,
2014/5/24 8:08,重合成功,,架空导线,外力因素,建设施工
2014/5/24 9:35,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/24 10:22,重合不成,2014/5/24 14:28,架空导线,雨雪大风,大雨、强风
2014/5/24 13:28,重合成功,,,原因不明,
2014/5/24 13:53,重合不成,2014/5/24 15:21,绝缘子,设备本体,设备老化
2014/5/24 15:32,重合不成,2014/5/24 19:05,架空导线,外力因素,建设施工
2014/5/25 14:55,重合成功,,,原因不明,
2014/5/25 15:18,重合不成,2014/5/25 16:56,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/25 18:26,重合成功,,,原因不明,
2014/5/26 1:03,重合成功,,,原因不明,
2014/5/26 1:46,重合成功,,,原因不明,
2014/5/26 13:28,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/26 13:28,重合成功,,架空导线,雨雪大风,大雨、强风
2014/5/26 13:29,重合不成,2014/5/26 14:26,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/26 15:05,接地,2014/5/26 15:59,避雷器,用户原因,设备老旧
2014/5/26 20:23,重合不成,2014/5/26 21:03,绝缘子,设备本体,设备老化
2014/5/26 21:25,无重合闸,2014/5/26 23:32,电缆附件,设备本体,设备质量问题
2014/5/26 21:31,无重合闸,2014/5/27 0:28,电缆附件,设备本体,设备质量问题
2014/5/26 21:31,无重合闸,2014/5/27 1:09,电缆附件,设备本体,设备质量问题
2014/5/27 1:42,重合成功,,,原因不明,
2014/5/27 5:30,重合不成,2014/5/27 7:38,令克,设备本体,设备老化
2014/5/27 7:24,重合成功,,架空导线,外力因素,鸟害等小动物
2014/5/27 12:07,重合不成,2014/5/27 14:16,架空导线,外力因素,建设施工
2014/5/27 12:10,重合成功,,,原因不明,
2014/5/27 12:25,重合不成,2014/5/27 13:33,电缆,设备本体,设备老化
2014/5/27 18:01,重合不成,2014/5/27 21:16,电缆,设备本体,设备老化
2014/5/28 7:24,重合成功,,避雷器,设备本体,设备老化
2014/5/28 7:24,重合成功,,避雷器,设备本体,设备老化
2014/5/28 7:24,重合成功,,避雷器,设备本体,设备老化
2014/5/28 9:40,接地,2014/5/28 9:50,配电变压器,设备本体,设备质量问题
2014/5/28 11:33,接地,2014/5/28 12:17,架空导线,其他原因,低压影响
2014/5/28 13:00,接地,2014/5/28 13:35,,原因不明,
2014/5/28 13:22,无重合闸,2014/5/28 14:13,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/28 13:22,无重合闸,2014/5/28 14:13,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/28 14:12,重合成功,,架空导线,外力因素,鸟害等小动物
2014/5/28 16:46,重合不成,2014/5/28 17:31,架空导线,外力因素,建设施工
2014/5/29 5:03,重合不成,2014/5/29 8:08,配电变压器,用户原因,用户运行和维护管理不到位
2014/5/29 7:37,重合不成,2014/5/29 8:18,杆塔,外力因素,车辆
2014/5/29 9:44,重合成功,,架空导线,外力因素,建设施工
2014/5/29 14:51,重合成功,,电缆,用户原因,外力破坏
2014/5/29 15:43,重合不成,2014/5/29 16:16,架空导线,外力因素,鸟害等小动物
2014/5/29 18:00,重合不成,2014/5/29 19:37,架空导线,外力因素,鸟害等小动物
2014/5/29 18:54,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/29 18:54,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/30 9:28,重合成功,,,原因不明,
2014/5/30 10:18,接地,2014/5/30 11:18,电缆,外力因素,建设施工
2014/5/30 17:45,重合不成,2014/5/30 18:39,开关柜,用户原因,用户运行和维护管理不到位
2014/5/31 6:52,无重合闸,2014/5/31 10:10,电缆附件,设备本体,设备质量问题
2014/5/31 8:06,重合不成,2014/5/31 10:14,架空导线,雨雪大风,大雨、强风
2014/5/31 11:11,重合不成,2014/5/31 14:27,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/31 11:50,接地,2014/5/31 16:48,拉线,设备本体,设备老化
2014/5/31 12:33,重合成功,,架空导线,设计安装不当,安装工艺不当
2014/5/31 13:02,重合成功,,,原因不明,
2014/5/31 13:14,重合不成,2014/5/31 15:28,架空导线,外力因素,建设施工
2014/5/31 18:46,重合成功,,,原因不明,
2014/5/31 18:46,重合成功,,,原因不明,
2014/5/31 19:07,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/5/31 19:08,重合不成,2014/5/31 20:33,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/1 3:38,重合成功,,绝缘子,雷击,雷击故障
2014/6/1 8:54,重合成功,,,原因不明,
2014/6/1 10:35,重合不成,2014/6/1 11:30,架空导线,外力因素,建设施工
2014/6/1 12:16,无重合闸,2014/6/1 13:07,环网柜,设备本体,污闪
2014/6/1 13:15,重合成功,,架空导线,雷击,雷击故障
2014/6/1 13:16,重合成功,,架空导线,雷击,雷击故障
2014/6/1 13:33,重合成功,,,原因不明,
2014/6/1 13:42,重合成功,,,原因不明,
2014/6/1 15:47,重合不成,2014/6/1 16:20,架空导线,设计安装不当,安装工艺不当
2014/6/1 18:15,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/1 23:55,重合成功,,,原因不明,
2014/6/2 7:38,无重合闸,2014/6/2 20:40,电缆附件,设计安装不当,安装工艺不当
2014/6/2 11:04,重合不成,2014/6/2 12:49,开关柜,设备本体,设备老化
2014/6/2 13:15,重合成功,,配电变压器,用户原因,设备老旧
2014/6/2 13:27,重合成功,,,原因不明,
2014/6/2 14:46,重合不成,2014/6/2 16:45,避雷器,用户原因,设备老旧
2014/6/3 7:55,重合不成,2014/6/3 10:00,架空导线,外力因素,车辆
2014/6/3 8:40,重合不成,2014/6/3 9:49,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/4 8:11,重合不成,2014/6/4 9:05,柱开,用户原因,绝缘状况差
2014/6/4 18:09,重合成功,,,原因不明,
2014/6/5 6:36,重合不成,2014/6/5 9:55,电缆,外力因素,建设施工
2014/6/5 12:13,重合成功,,,原因不明,
2014/6/5 13:34,重合成功,,架空导线,外力因素,建设施工
2014/6/5 14:12,接地,2014/6/5 15:33,其它,用户原因,用户运行和维护管理不到位
2014/6/5 15:00,无重合闸,2014/6/5 16:19,电缆附件,设备本体,设备质量问题
2014/6/5 15:19,重合成功,,,原因不明,
2014/6/6 4:24,重合成功,,金具,设备本体,设备老化
2014/6/6 9:13,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/6 10:38,重合成功,,,原因不明,
2014/6/6 11:40,重合成功,,,原因不明,
2014/6/6 13:39,重合不成,2014/6/6 15:45,配电变压器,用户原因,设备老旧
2014/6/6 14:09,接地,2014/6/6 15:04,令克,设备本体,设备老化
2014/6/6 14:09,接地,2014/6/6 15:04,电缆,用户原因,外力破坏
2014/6/6 15:18,重合成功,,架空导线,设计安装不当,未按设计规程施工
2014/6/6 21:49,重合成功,,,原因不明,
2014/6/7 7:53,重合不成,2014/6/7 8:42,架空导线,外力因素,建设施工
2014/6/7 8:52,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/7 13:37,重合不成,2014/6/7 16:34,刀闸,设备本体,设备老化
2014/6/7 16:27,接地,2014/6/7 17:19,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/7 22:22,重合成功,,,原因不明,
2014/6/8 6:00,重合成功,,,原因不明,
2014/6/8 7:17,重合不成,2014/6/8 10:40,配电变压器,设备本体,设备老化
2014/6/8 12:00,重合不成,2014/6/8 12:50,架空导线,外力因素,建设施工
2014/6/8 15:48,重合成功,,架空导线,外力因素,建设施工
2014/6/8 18:40,接地,2014/6/8 22:16,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/9 5:14,重合成功,,,原因不明,
2014/6/9 9:49,重合成功,,,原因不明,
2014/6/9 14:08,重合不成,2014/6/9 17:23,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/9 14:17,重合成功,,柱开,外力因素,鸟害等小动物
2014/6/9 16:10,重合不成,2014/6/9 16:50,架空导线,外力因素,建设施工
2014/6/9 16:14,重合成功,,,原因不明,
2014/6/9 16:22,重合成功,,,原因不明,
2014/6/10 8:22,无重合闸,2014/6/10 10:30,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/10 11:17,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/10 14:45,接地,2014/6/10 17:25,柱开,设备本体,设备质量问题
2014/6/10 14:56,重合成功,,架空导线,设备本体,设备老化
2014/6/10 18:43,重合不成,2014/6/10 20:03,避雷器,用户原因,设备老旧
2014/6/10 19:03,重合成功,,令克,设备本体,设备老化
2014/6/11 4:36,重合成功,,,原因不明,
2014/6/11 6:23,重合成功,,,原因不明,
2014/6/11 8:48,重合成功,,,原因不明,
2014/6/11 10:56,重合成功,,架空导线,设计安装不当,未按设计规程施工
2014/6/11 11:05,重合成功,,,原因不明,
2014/6/11 11:22,重合成功,,架空导线,设计安装不当,未按设计规程施工
2014/6/11 16:46,重合不成,2014/6/11 18:28,电缆,外力因素,建设施工
2014/6/11 16:46,重合成功,,配电变压器,用户原因,设备老旧
2014/6/12 6:56,重合成功,,柱开,外力因素,鸟害等小动物
2014/6/12 7:13,无重合闸,2014/6/12 7:52,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/12 7:47,重合不成,2014/6/12 9:49,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/13 5:29,重合不成,2014/6/13 7:56,架空导线,外力因素,鸟害等小动物
2014/6/13 7:49,重合不成,2014/6/13 8:32,电缆,用户原因,用户运行和维护管理不到位
2014/6/13 11:12,重合不成,2014/6/13 19:16,拉线,设计安装不当,未按设计规程施工
2014/6/13 12:37,接地,2014/6/13 14:44,电缆,用户原因,设备老旧
2014/6/13 14:17,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/13 14:21,重合成功,,架空导线,设计安装不当,未按设计规程施工
2014/6/13 14:39,重合成功,,架空导线,设计安装不当,安装工艺不当
2014/6/14 7:49,重合不成,2014/6/14 8:19,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/14 13:04,接地,2014/6/14 13:37,,原因不明,
2014/6/14 17:06,重合不成,2014/6/14 17:50,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/14 18:44,重合成功,,令克,设备本体,设备老化
2014/6/15 4:55,重合成功,,,原因不明,
2014/6/15 5:44,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/15 5:49,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/15 7:06,重合不成,2014/6/15 16:32,电缆,外力因素,建设施工
2014/6/15 9:45,重合成功,,,原因不明,
2014/6/15 10:48,重合成功,,,原因不明,
2014/6/15 16:47,重合不成,2014/6/15 17:50,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/16 2:33,重合成功,,,原因不明,
2014/6/16 4:46,重合成功,,,原因不明,
2014/6/16 8:47,重合不成,2014/6/16 9:31,架空导线,外力因素,建设施工
2014/6/16 9:12,重合成功,,,原因不明,
2014/6/16 9:26,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/16 9:30,重合成功,,配电变压器,用户原因,设备老旧
2014/6/16 18:15,重合不成,2014/6/16 19:20,架空导线,雨雪大风,大雨、强风
2014/6/16 18:26,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/16 18:51,重合成功,,,原因不明,
2014/6/16 23:09,重合成功,,,原因不明,
2014/6/17 4:09,重合成功,,电缆附件,设备本体,设备质量问题
2014/6/17 4:41,重合不成,2014/6/17 7:18,令克,设备本体,设备老化
2014/6/17 5:01,重合成功,,,原因不明,
2014/6/17 5:41,重合成功,,,原因不明,
2014/6/17 11:05,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/17 11:21,重合不成,2014/6/17 13:09,柱开,雷击,雷击故障
2014/6/17 11:21,重合不成,2014/6/17 13:09,架空导线,雨雪大风,大雨、强风
2014/6/17 11:21,重合不成,2014/6/17 13:09,架空导线,雨雪大风,大雨、强风
2014/6/17 15:29,重合成功,,配电变压器,用户原因,设备老旧
2014/6/17 17:00,重合成功,,架空导线,外力因素,鸟害等小动物
2014/6/17 19:42,重合成功,,,原因不明,
2014/6/18 5:37,重合成功,,,原因不明,
2014/6/18 5:37,重合成功,,避雷器,设备本体,设备老化
2014/6/18 9:03,重合成功,,配电变压器,用户原因,设备老旧
2014/6/18 11:40,接地,2014/6/18 12:20,电缆,外力因素,建设施工
2014/6/18 12:11,重合成功,,,原因不明,
2014/6/18 14:10,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/18 21:49,无重合闸,2014/6/18 23:10,电缆附件,设计安装不当,安装工艺不当
2014/6/19 7:10,重合成功,,,原因不明,
2014/6/19 7:23,重合成功,,拉线,外力因素,建设施工
2014/6/19 9:31,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/19 10:32,重合成功,,架空导线,外力因素,鸟害等小动物
2014/6/19 11:43,重合成功,,,原因不明,
2014/6/19 11:51,重合成功,,,原因不明,
2014/6/19 13:29,重合不成,2014/6/19 14:59,架空导线,雨雪大风,大雨、强风
2014/6/19 14:06,接地,2014/6/19 14:36,架空导线,外力因素,建设施工
2014/6/19 14:54,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/19 14:59,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/20 4:39,重合成功,,,原因不明,
2014/6/20 11:33,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/6/20 13:22,重合成功,,柱开,设备本体,设备老化
2014/6/20 13:22,重合不成,2014/6/20 16:38,柱开,设备本体,设备老化
2014/6/20 16:46,重合不成,2014/6/20 17:29,架空导线,雨雪大风,大雨、强风
2014/6/21 2:44,重合不成,2014/6/21 7:55,电缆附件,设备本体,设备老化
2014/6/21 5:00,重合成功,,,原因不明,
2014/6/21 15:00,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/21 15:00,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/21 19:45,重合成功,,,原因不明,
2014/6/21 22:26,重合成功,,,原因不明,
2014/6/21 22:26,重合成功,,绝缘子,设备本体,设备老化
2014/6/22 8:15,重合成功,,,原因不明,
2014/6/22 8:16,重合不成,2014/6/22 10:03,避雷器,用户原因,绝缘状况差
2014/6/22 9:47,重合成功,,,原因不明,
2014/6/22 11:13,重合成功,,,原因不明,
2014/6/22 14:02,无重合闸,2014/6/22 16:05,电缆附件,设计安装不当,安装工艺不当
2014/6/22 15:07,重合成功,,,原因不明,
2014/6/22 16:26,无重合闸,2014/6/22 17:26,电缆附件,设计安装不当,安装工艺不当
2014/6/23 0:56,重合成功,,,原因不明,
2014/6/23 13:43,接地,2014/6/23 15:05,电缆,用户原因,外力破坏
2014/6/23 17:36,重合成功,,架空导线,外力因素,建设施工
2014/6/24 1:06,接地,2014/6/24 4:37,架空导线,设备本体,设备老化
2014/6/24 6:02,重合成功,,,原因不明,
2014/6/24 7:06,重合成功,,架空导线,外力因素,建设施工
2014/6/24 9:01,重合成功,,,原因不明,
2014/6/24 10:37,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/25 9:16,重合成功,,,原因不明,
2014/6/25 9:48,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/25 9:48,接地,2014/6/25 13:59,架空导线,外力因素,建设施工
2014/6/25 10:03,重合不成,2014/6/25 10:56,架空导线,雨雪大风,大雨、强风
2014/6/25 13:44,重合成功,,架空导线,外力因素,建设施工
2014/6/25 18:33,重合成功,,架空导线,雨雪大风,大雨、强风
2014/6/26 14:41,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/26 15:44,接地,2014/6/26 17:32,电缆附件,设计安装不当,安装工艺不当
2014/6/26 23:02,接地,2014/6/27 8:17,其它,用户原因,用户运行和维护管理不到位
2014/6/27 5:27,重合成功,,,原因不明,
2014/6/27 5:52,重合不成,2014/6/27 8:22,令克,设备本体,设备老化
2014/6/27 11:21,重合成功,,,原因不明,
2014/6/28 0:55,接地,2014/6/28 5:05,拉线,外力因素,建设施工
2014/6/28 10:28,重合不成,2014/6/28 15:35,架空导线,外力因素,外部异物（如，漂浮物）
2014/6/28 11:49,重合不成,2014/6/28 12:37,架空导线,雨雪大风,大雨、强风
2014/6/28 12:32,重合不成,2014/6/28 16:58,绝缘子,设备本体,设备老化
2014/6/28 12:42,接地,2014/6/28 13:29,配电变压器,用户原因,用户运行和维护管理不到位
2014/6/28 14:49,重合不成,2014/6/28 15:34,架空导线,外力因素,鸟害等小动物
2014/6/28 15:55,重合不成,2014/6/28 17:15,架空导线,设计安装不当,未按设计规程施工
2014/6/28 16:01,重合不成,2014/6/28 17:03,架空导线,外力因素,建设施工
2014/6/28 20:05,重合成功,,绝缘子,设备本体,设备老化
2014/6/28 21:32,接地,2014/6/28 23:07,绝缘子,设备本体,设备老化
2014/6/29 4:51,重合成功,,架空导线,外力因素,鸟害等小动物
2014/6/29 7:18,接地,2014/6/29 9:13,电缆,用户原因,外力破坏
2014/6/29 9:14,重合成功,,架空导线,外力因素,鸟害等小动物
2014/6/29 9:14,重合成功,,架空导线,外力因素,鸟害等小动物
2014/6/29 11:31,重合不成,2014/6/29 12:06,架空导线,雨雪大风,大雨、强风
2014/6/29 13:56,重合成功,,柱开,设计安装不当,安装工艺不当
2014/6/29 15:36,重合不成,2014/6/29 16:12,架空导线,雨雪大风,大雨、强风
2014/6/30 7:32,重合成功,,,原因不明,
2014/6/30 13:26,重合成功,,,原因不明,
2014/6/30 22:46,重合不成,2014/7/1 0:28,架空导线,设计安装不当,未按设计规程施工
2014/7/1 7:21,重合不成,2014/7/1 10:45,配电变压器,用户原因,用户运行和维护管理不到位
2014/7/1 8:53,重合成功,,,原因不明,
2014/7/1 15:06,重合不成,2014/7/1 19:20,杆塔,外力因素,车辆
2014/7/2 5:28,重合成功,,架空导线,外力因素,鸟害等小动物
2014/7/2 9:00,重合不成,2014/7/2 9:42,架空导线,雷击,雷击故障
2014/7/2 13:11,重合成功,,,原因不明,
2014/7/2 21:06,重合不成,2014/7/3 0:19,杆塔,外力因素,车辆
2014/7/3 14:26,重合不成,2014/7/3 15:53,架空导线,外力因素,外部异物（如，漂浮物）
2014/7/3 14:40,接地,2014/7/3 16:07,配电变压器,用户原因,用户运行和维护管理不到位
2014/7/3 14:50,重合不成,2014/7/3 15:15,电缆附件,设备本体,设备老化
2014/7/3 19:11,重合成功,,架空导线,设计安装不当,安装工艺不当
2014/7/3 20:47,重合不成,2014/7/3 22:47,配电变压器,用户原因,设备老旧
2014/7/3 23:00,重合成功,,架空导线,设备本体,设备老化
2014/7/4 4:14,接地,2014/7/4 7:10,电缆,外力因素,建设施工
2014/7/4 5:33,重合成功,,,原因不明,
2014/7/4 9:38,接地,2014/7/4 12:25,电缆,用户原因,外力破坏
2014/7/4 9:59,重合成功,,架空导线,外力因素,车辆
2014/7/4 14:52,重合不成,2014/7/4 15:20,架空导线,用户原因,用户运行和维护管理不到位
2014/7/4 15:38,重合成功,,架空导线,外力因素,鸟害等小动物
2014/7/4 17:17,重合成功,,,原因不明,
2014/7/4 17:17,重合成功,,,原因不明,
2014/7/4 20:15,重合成功,,电缆,用户原因,外力破坏
2014/7/5 8:22,重合成功,,架空导线,雨雪大风,大雨、强风
2014/7/5 9:09,重合成功,,架空导线,雨雪大风,大雨、强风
2014/7/5 13:33,重合不成,2014/7/5 14:27,配电变压器,用户原因,用户运行和维护管理不到位
2014/7/6 4:59,重合成功,,,原因不明,
2014/7/6 6:22,重合成功,,,原因不明,
2014/7/6 6:25,接地,2014/7/6 8:29,令克,设备本体,设备老化
2014/7/6 6:59,重合成功,,,原因不明,
2014/7/6 16:39,重合不成,2014/7/6 17:57,柱开,设计安装不当,未按设计规程施工
2014/7/7 6:06,重合成功,,架空导线,外力因素,鸟害等小动物
2014/7/7 6:06,重合成功,,架空导线,外力因素,鸟害等小动物
